station_la,station_lo,Date,Turbidity_,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MNDWI,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,MSK_CLDPRB,MSK_SNWPRB,NDSSI,NDTI,NDWI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP
19.9741234,99.6569426,2025-09-01,258.0,0.0292,0.0827,0.0568,0.0374,0.1076,0.1436000019311905,0.1936,0.1949,0.141,0.1528,0.1318,0.129,0.1629,0.4331337379976383,0,0,0,0.0,0,0.18992009834050397,0.14827994597405897,0.04284677504882064,,,0,0.0005,0.0109,0.0146,0.0197,0.3884
19.9741234,99.6569426,2025-09-22,246.0,0.0197,0.0816,0.0469,0.0357,0.0907,0.1273999959230423,0.1674,0.1724,0.1119,0.1164,0.092,0.0885,0.1359,0.4618473769705939,0,0,0,0.0,0,0.29067077872012337,0.13568522601811608,0.16134911841775676,,,0,0.0005,0.0093,0.013,0.0171,0.4469
19.9583819,99.699078,2025-04-01,160.0,0.0756,0.062,0.0945,0.0892,0.082,0.10660000145435333,0.1362,0.16,0.1228,0.118,0.0956,0.1115,0.1596,0.06016907691121946,0,0,0,0.0,0,0.175150992234685,0.12191103117110767,0.05440158939284963,,,0,0.0005,0.0084,0.0109,0.014,0.1325
19.9583819,99.699078,2025-05-13,404.0,0.0242,0.1003,0.1257,0.1056,0.109,0.14059999585151672,0.1644,0.1972,0.1589,0.1687,0.1372,0.1571,0.227,0.05595191920252466,0,0,0,0.0,0,0.09018567639257295,0.07803280154820014,0.01223900612775395,,,0,0.0005,0.011,0.0142,0.0166,0.3118
19.9583819,99.699078,2025-05-27,891.0,0.0231,0.108,0.1147,0.1007,0.118,0.14499999582767487,0.1766,0.2098,0.185,0.1938,0.1479,0.1741,0.2455,0.11667307013659164,0,0,0,0.0,0,0.08844375963020032,0.09825872071608356,-0.009901004484927783,,,0,0.0005,0.0121,0.0148,0.018,0.4466
19.9583819,99.699078,2025-06-09,2209.0,0.0298,0.0843,0.1054,0.0928,0.1014,0.12039999663829803,0.1544,0.1741,0.1367,0.1338,0.1015,0.1207,0.2043,0.06643045554303559,0,0,0,0.0,0,0.20672137553731926,0.12372636018061545,0.0851734877180077,,,0,0.0005,0.01,0.0124,0.0159,0.4227
19.9583819,99.699078,2025-06-23,521.0,0.027,0.0965,0.1079,0.093,0.1168,0.1428000032901764,0.183,0.2255,0.2144,0.238,0.189,0.2393,0.3138,0.13921022270502675,0,0,0,0.0,0,-0.01612903225806453,0.12338857060728498,-0.13924049503224178,,,0,0.0005,0.0119,0.0146,0.0186,0.5371
19.9583819,99.699078,2025-08-18,219.0,0.0293,0.1639,0.1977,0.1346,0.2428,0.21539999544620514,0.2008,0.219,0.2314,0.2441,0.3144,0.234,0.3135,0.04284675778581578,0,0,0,0.0036,0,-0.22049689440993792,-0.035079278245912955,-0.18686297735887228,,,0,0.0008,0.0248,0.0219,0.0205,0.4236
19.9583819,99.699078,2025-09-01,265.0,0.0293,0.1639,0.1977,0.1346,0.2428,0.21539999544620514,0.2008,0.219,0.2314,0.2441,0.3144,0.234,0.3135,0.04284675778581578,0,0,0,0.0036,0,-0.22049689440993792,-0.035079278245912955,-0.18686297735887228,,,0,0.0008,0.0248,0.0219,0.0205,0.4236
19.9583819,99.699078,2025-09-22,273.0,0.0197,0.0751,0.0869,0.0761,0.0916,0.11640000343322754,0.142,0.1689,0.1287,0.1408,0.0961,0.1217,0.1765,0.14510576947883133,0,0,0,0.0,0,0.1927761444771104,0.09907119282754837,0.09552942637766247,,,0,0.0005,0.0094,0.0119,0.0145,0.3613
19.9583819,99.699078,2025-11-04,199.0,0.0079,0.0495,0.0791,0.0693,0.0714,0.1006999984383583,0.1246,0.1353,0.1083,0.1135,0.0952,0.103,0.1419,0.12013347400424775,0,0,0,0.0,0,0.13375796178343946,0.10608078884732304,0.028075541001542803,,,0,0.0005,0.0072,0.0103,0.0128,0.1571
19.9583819,99.699078,2025-12-09,85.7,0.0091,0.0501,0.08,0.0651,0.0831,0.11299999803304672,0.1338,0.1359,0.0996,0.1006,0.0994,0.0996,0.139,0.17098444750966393,0,0,0,0.0,0,0.14751286449399656,0.08427877687490153,0.06403012315909125,,,0,0.0005,0.0086,0.0114,0.0136,0.0435
19.9476028,99.730304,2025-03-01,115.0,0.0561,0.0242,0.0212,0.0162,0.0645,0.11460000276565552,0.1506,0.1475,0.0822,0.0901,0.0623,0.0454,0.2178,0.6877761477430311,0,0,0,0.0,0,0.4147487083137624,0.13574659449063414,0.2956472693498983,,,0,0.0005,0.0068,0.0118,0.0155,0.1399
19.9476028,99.730304,2025-04-01,159.0,0.074,0.0408,0.0151,0.0166,0.0833,0.14000000059604645,0.1712,0.1617,0.0853,0.0787,0.0608,0.045,0.2198,0.8052869124181692,0,0,0,0.0,0,0.47586206896551725,0.10025706730139998,0.394422312554544,,,0,0.0005,0.0086,0.0144,0.0174,0.109
19.9476028,99.730304,2025-05-13,376.0,0.0242,0.0742,0.0533,0.039,0.0996,0.14499999582767487,0.187,0.1896,0.1438,0.1554,0.1216,0.1112,0.2961,0.4624306493045178,0,0,0,0.0,0,0.21192482177576152,0.1265060382534622,0.0877719287092569,,,0,0.0005,0.0103,0.0148,0.0191,0.2903
19.9476028,99.730304,2025-05-27,757.0,0.0231,0.0802,0.0664,0.0502,0.134,0.1738000065088272,0.226,0.2403,0.2029,0.2157,0.188,0.1891,0.3297,0.4471274088199507,0,0,0,0.0,0,0.09178743961352658,0.13056526423548287,-0.039248184731103204,,,0,0.0005,0.0135,0.0177,0.0231,0.459
19.9476028,99.730304,2025-06-09,2582.0,0.0293,0.042,0.0337,0.0235,0.0805,0.12039999663829803,0.1602,0.1498,0.0944,0.1065,0.0853,0.0661,0.1425,0.5626216646960699,0,0,0,0.0,0,0.30509164969450103,0.14183893028696432,0.17063683622716685,,,0,0.0005,0.0082,0.0123,0.0163,0.4336
19.9476028,99.730304,2025-06-23,552.0,0.027,0.0787,0.0563,0.0422,0.1302,0.17479999363422394,0.2388,0.2614,0.2484,0.2682,0.2464,0.261,0.3932,0.5127650233594602,0,0,0,0.0,0,-0.015663643858202795,0.15473889591588305,-0.1699905210064047,,,0,0.0005,0.0133,0.0178,0.0243,0.583
19.9476028,99.730304,2025-07-01,502.0,0.0181,0.267,0.255,0.2285,0.182,0.19619999825954437,0.1964,0.2426,0.3263,0.3608,0.2878,0.3825,0.5452,-0.13031915329625518,0,0,0,0.004,0,-0.1887649731515903,0.0005094287858946941,-0.18925620262365217,,,0,0.0008,0.0185,0.02,0.02,0.4609
