River,Amount,Station (New),Location,Lat,Long,Year,Month,Date,Time,Depth(m),Temp(a),Temp(w),pH,tur(NTU),Cond(µS),Sal(ppt),SS(mg/l),TS(mg/l),TDS(mg/l),Cd(mg/L),Cr6+(mg/L),Mn(mg/L),Ni(mg/L),Pb(mg/L),Zn(mg/L),Cu(mg/L),Hg(mg/L),As(mg/L),Cr(mg/L),"Cyanide
(mg/L)"
Kok,8//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Jul,21-25 Jul 2025,8:05,5,26,27.1,7.35,405,112.1,0,,,,<0.001,,0.38,0.011,0.018,<0.10,<0.010,<0.0005,<0.010,0.022,
Kok,9//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Aug,4-8 Aug 2025,9:04,2,30,26.7,6.9,419,101.9,0,,,,<0.001,,0.5,0.015,0.021,<0.10,0.013,<0.0005,0.011,0.032,
Kok,10//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Aug,18-22 Aug 2025,9:55,2.5,32,29.6,7.73,201,124.1,0,,,,<0.001,,0.24,<0.010,0.01,<0.10,<0.010,<0.0005,<0.010,0.013,
Kok,11//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Sep,1-4 Sep  2025,12:04,2,36,28.6,6.67,258,102.4,0,,,,<0.001,,0.26,<0.010,0.011,<0.10,<0.010,<0.0005,<0.010,0.014,
Kok,12//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Sep,22-26 Sep  2025,10:00,1.5,27,26.6,6.94,246,113,0,,,,<0.001,,0.25,<0.010,0.012,<0.10,<0.010,<0.0005,<0.010,0.013,
Kok,13//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Nov,4-7 Nov 2025,,,,,,,,,,,,,,,,,,,,,,
Kok,14//68,KK04,"Moo. 6, Baan Ja Doe, Doi Hang, Mueang, Chiang Rai",19.9741234,99.6569426,2025,Dec,9-12 Dec 2025,,,,,,,,,,,,,,,,,,,,,,
Kok,1//68,KK05,"Mae Yao - Doi Hang Friendship Bridge, Doi Hang, Mueang District, Chiang Rai",19.9583819,99.699078,2025,Mar,Mar,,,,,,,,,,,,,,,,,,,,,,
Kok,2//68,KK05,"Mae Yao - Doi Hang Friendship Bridge, Doi Hang, Mueang District, Chiang Rai",19.9583819,99.699078,2025,Apr,Apr,,,,,8.18,160,161.2,,350,496,146,<0.001,,0.15,<0.010,0.014,<0.100,<0.010,<0.002,0.016,<0.010,
Kok,3//68,KK05,"Mae Yao - Doi Hang Friendship Bridge, Doi Hang, Mueang District, Chiang Rai",19.9583819,99.699078,2025,May,13-16 May  2025,11:02,1,31,28.4,7.88,404,139.8,0,,,,<0.001,,0.37,<0.010,0.026,<0.10,0.01,<0.0005,0.017,<0.010,
Kok,4//68,KK05,"Mae Yao - Doi Hang Friendship Bridge, Doi Hang, Mueang District, Chiang Rai",19.9583819,99.699078,2025,May,27-30 May  2025,13:01,2.3,29,27.1,7.71,891,121,0,,,,<0.001,,0.58,0.014,0.038,<0.10,0.018,<0.0005,0.022,0.028,
Kok,5//68,KK05,"Mae Yao - Doi Hang Friendship Bridge, Doi Hang, Mueang District, Chiang Rai",19.9583819,99.699078,2025,Jun,9-13 Jun  2025,11:00,2.3,32,28.3,7.59,2209,111.9,0,,,,<0.001,,1.6,0.032,0.078,<0.10,0.028,<0.0005,0.036,0.065,
Kok,6//68,KK05,"Mae Yao - Doi Hang Friendship Bridge, Doi Hang, Mueang District, Chiang Rai",19.9583819,99.699078,2025,Jun,23-27 Jun  2025,11:45,2.5,34,29.9,7.73,521,114.2,0,,,,<0.001,,0.46,0.01,0.021,<0.10,0.012,<0.0005,0.013,0.02,
Kok,7//68,KK05,"Mae Yao - Doi Hang Friendship Bridge, Doi Hang, Mueang District, Chiang Rai",19.9583819,99.699078,2025,Jul,30 Jun-4 Jul 2025,10:00,3,27,27.6,7.78,515,110,0,,,,<0.001,,0.44,0.012,0.021,<0.10,0.011,<0.0005,0.012,0.025,
Kok,8//68,KK05,"Mae Yao - Doi Hang Friendship Bridge, Doi Hang, Mueang District, Chiang Rai",19.9583819,99.699078,2025,Jul,21-25 Jul 2025,9:04,2.5,26,27.3,7.43,438,111.8,0,,,,<0.001,,0.4,0.012,0.02,<0.10,0.01,<0.0005,0.011,0.024,
Kok,9//68,KK05,"Mae Yao - Doi Hang Friendship Bridge, Doi Hang, Mueang District, Chiang Rai",19.9583819,99.699078,2025,Aug,4-8 Aug 2025,10:25,2,32,27.2,6.7,636,101.8,0,,,,<0.001,,0.52,0.016,0.023,<0.10,0.014,<0.0005,<0.010,0.032,
